Action (Title),Date,Status,Link,Branch,Agency,Bureau/Office,Concerns/Impacts,Cultural Resources,Description (75 words MAX),§ Project 2025,Georgaphic Scope,Affected Stakeholders,Mitigation Strategies,Related Actions/Policies,Responsibles (Coalition Partners)
Executive Order 14253: Restoring Truth and Sanity to American History,3/27/2025,Active,https://www.federalregister.gov/documents/2025/04/03/2025-05838/restoring-truth-and-sanity-to-american-history,Executive,"Dept. of Interior, Library of Congress, Nat'l Archives (NARA), Smithsonian, IMLS, NEA, NEH, Kennedy Center, Corp. for Public Broadcast",,"Censorship, Removal","People, Places, Practices, Treasures (Artifacts/Artwork)",,,,,,,
Secretarial Order 3431: Restoring Truth and Sanity to American History,5/20/2025,Active,https://www.doi.gov/document-library/secretary-order/so-3431-restoring-truth-and-sanity-american-history,Executive,Dept. of Interior,,"Censorship, Removal","People, Places, Treasures (Artifacts/Artwork)","""This SO reverses decades of work by park staff, Tribal Nations, educators, historians, and community partners who have helped ensure our public lands reflect the richness and complexity of American history. It silences stories that deserve to be seen and heard and disconnects people from the very places meant to bring us together."" Taken from https://docs.google.com/document/d/1akajQlP4JGjJyg7iItL4Gyfp4Fot7t0cZPxOJQrigRA/edit?tab=t.0",,,,,,
Secretary of the Interior Memo: Encouraging Public Participation,6/9/2025,Active,https://www.npr.org/2025/06/10/nx-s1-5429773/national-park-service-signs,Executive,Dept. of Interior,National Park Service,"Censorship, Removal",Places,,,,,,,
"Pub. L. No. 119-21, § 50101 (2025) (diverting funds from the National Endowment for the Humanities) - Title V, Subtitle A, Sec. 50101 (Cultural Agencies Funding)",7/4/2025,Active,"https://www.congress.gov/bill/119th-congress/house-bill/1/amendments#:~:text=Sponsor%3A,No%3A%20119%2D21.%20(",Legislative,"NEA, Dept. of Interior",,"Censorship, Defunding, Removal","Places, People, Practices, Treasures (Artifacts/Artwork)","Earmarks funds away from the National Endowment for the Humanities (NEH) and National Endowment for the Arts (NEA) discretionary grants, thereby limiting resources for minority-focused cultural documentation. The National Garden of American Heroes: The bill allocates a significant portion of the NEH's funding—up to $40 million—toward the commissioning and creation of this specific patriotic sculpture park. This diversion of funds reduces the pool of money available for the NEH's primary grant programs, which are often used by small museums, historical societies, and academic institutions to document and preserve the history and culture of diverse groups. While the bill extends various tax cuts, some provisions may indirectly reduce charitable giving, which many cultural institutions rely on. The bill makes changes to the tax code (like limiting the value of itemized deductions for some high-income earners) that philanthropic organizations warn could have a ""chilling effect"" on charitable giving. This has a downstream impact on arts and culture organizations reliant on discretionary giving, including those that specifically focus on minority history and culture.",,,,,,
"Pub. L. No. 119-21, § 20101 (2025). - Title II, Sec. 20101 (Border Security and Immigration Enforcement)",7/4/2025,Active,"https://www.congress.gov/bill/119th-congress/house-bill/1/amendments#:~:text=Sponsor%3A,No%3A%20119%2D21.%20(",Legislative,Dept. of Interior,,"Defunding, Removal , Destruction, Sale/Privatization","Places, Practices","Allocates mandatory funds for border barriers and utilizes existing authority to waive laws like the National Historic Preservation Act (NHPA) and the Native American Graves Protection and Repatriation Act (NAGPRA) for construction purposes, resulting in the destruction of cultural heritage sites.",,,,,,
"Pub. L. No. 119-21, § 10102 (2025) - Title I, Subtitle A, Sec. 10102 (Able Bodied Adults Without Dependents Work Requirements)",7/4/2025,Active,"https://www.congress.gov/bill/119th-congress/house-bill/1/amendments#:~:text=Sponsor%3A,No%3A%20119%2D21.%20(",Legislative,,,Defunding,,"While not a cultural provision, this section creates a significant economic burden on low-income minority households, which has a destabilizing effect on the local community organizations, churches, and cultural centers they rely on. Expands work requirements (up to age 55) and removes certain exemptions, leading to widespread benefit loss and financial hardship that undercuts the stability and support for cultural maintenance within affected communities.",,,,,,
"Guidance: IMPLEMENTATION OF EXECUTIVE ORDER NO. 14,224: DESIGNATING ENGLISH AS THE OFFICIAL LANGUAGE OF THE UNITED STATES",7/14/2025,Active,https://www.justice.gov/ag/media/1407776/dl,"Executive, Judiciary",,Dept. of Justice,Censorship,"People, Practices",,,,,,,
Executive Order: Improving Oversight of Federal Grantmaking,8/7/2025,Active,https://www.whitehouse.gov/presidential-actions/2025/08/improving-oversight-of-federal-grantmaking/,Executive,"Dept. of Interior, EPA, NOAA, Library of Congress, Nat'l Archives (NARA), Smithsonian, IMLS, NEA, NEH, Kennedy Center, Corp. for Public Broadcast",Office of Management and Budget,"Defunding, Censorship","People, Places, Practices","The EO undermines the autonomy and integrity of history organizations by allowing political appointees to overrule peer review, replacing expert judgment with political agendas. This politicization of grantmaking risks silencing important historical research and public programming that may not align with shifting political priorities. It also hinders long-term projects and planning by making it possible to arbitrarily terminate grants “for convenience.” Taken from https://ncph.org/wp-content/uploads/2025/08/NCPH-Advocacy-Alert-August-2025.pdf",(P1)(S2) SS2.2.a,,,,,
Letter to the Smithsonian: Internal Review of Smithsonian Exhibitions and Materials,8/12/2025,Active,https://www.whitehouse.gov/briefings-statements/2025/08/letter-to-the-smithsonian-internal-review-of-smithsonian-exhibitions-and-materials/,Executive,Smithsonian,,"Censorship, Removal",Treasures (Artifacts/Artwork),"""The historical materials at the Smithsonian Institution museums are intended to paint a full and accurate picture of the American experience; by forcing them to edit their exhibits at the administration’s command, the White House is engaging in authoritarian censorship. It is taking another step toward divesting in professional expertise and dismantling principles of academic freedom."" Taken from https://www.acls.org/news/acls-statement-regarding-the-white-house-review-of-smithsonian-institution-museums/",,,,,,
Executive Order 14344: Making Federal Architecture Beautiful Again,8/28/2025,Active,https://www.federalregister.gov/documents/2025/09/03/2025-16928/making-federal-architecture-beautiful-again,Executive,Dept. of Interior,,,"Places, Treasures (Artifacts/Artwork)",,,,,,,
"SCOTUS Decision: Noem v. Vasquez-Perdomo, No. 25A169, 606 U.S. ___ (2025)",9/8/2025,Active,https://www.supremecourt.gov/opinions/24pdf/25a169_5h25.pdf,Judiciary,,Dept. of State; Dept. of Homeland Security; Dept. of Health and Human Services; Dept. of Justice; Dept. of Housing and Urban Development,Censorship,"People, Practices","SCOTUS RULES THAT racial profiling is permissible in ICE raids in Noem v. Vasquez-Perdomo (2025), an unsigned order granting a stay in a case involving ""roving patrols"" in Los Angeles. On September 8, 2025, the Supreme Court temporarily lifted a lower court's order that had previously blocked Immigration and Customs Enforcement (ICE) agents from making stops based on factors like race, language, and employment, effectively permitting these tactics for the time being. (application for stay granted Sept. 8, 2025).",,,,,,
